Risk Category,Risk Sub-Category,Discovery Date,Occurrence Start Date,Year,Net Loss,Recovery Amount,Estimated Gross Loss,Recovery Amount (percent)
External Fraud,Theft and Fraud,43863,43866,2020,171533.6,49744.744,171000,29
Employment Practices and Workplace Safety,Safe Environment,43863,43866,2020,405195.68,162078.272,404300,40
External Fraud,Systems Security,43864,43865,2020,791913.92,308846.4288,796900,39
External Fraud,Theft and Fraud,43875,43878,2020,144768,33296.64,153100,23
"Execution, Delivery and Process Management",Transaction/Data Management,43876,43877,2020,1029.93,319.2783,1900,31
"Execution, Delivery and Process Management",Customer Intake and Documentation,43877,43880,2020,263815.13,87058.9929,275600,33
Employment Practices and Workplace Safety,Diversity and Discrimination,43878,43879,2020,173525.14,60733.799,190000,35
"Clients, Products and Business Practices",Advisory Activities,43878,43880,2020,93763.92,30942.0936,100600,33
"Execution, Delivery and Process Management",Trade Counterparties,43880,43881,2020,873026.61,349210.644,872500,40
"Execution, Delivery and Process Management",Reporting and Disclosure,43881,43884,2020,211793.33,44476.5993,205200,21
"Clients, Products and Business Practices",Product Flaws,43888,43892,2020,242755.18,94674.5202,240000,39
Business Disruption and System Failures,Infrastructure and Systems,43893,43896,2020,807828,218113.56,814600,27
"Execution, Delivery and Process Management",Reporting and Disclosure,43894,43897,2020,339306.81,84826.7025,342900,25
"Execution, Delivery and Process Management",Trade Counterparties,43894,43896,2020,455874.97,145879.9904,463900,32
External Fraud,Systems Security,43895,43898,2020,191367.61,76547.044,189700,40
External Fraud,Theft and Fraud,43900,43903,2020,93570.31,30878.2023,91300,33
"Execution, Delivery and Process Management",Reporting and Disclosure,43903,43906,2020,32751.31,11462.9585,43700,35
"Execution, Delivery and Process Management",Customer Intake and Documentation,43905,43907,2020,188988.56,49137.0256,201900,26
External Fraud,Theft and Fraud,43905,43907,2020,89624.4,34057.272,94000,38
Employment Practices and Workplace Safety,Employee Relations,43905,43908,2020,35359.08,13790.0412,36600,39
"Execution, Delivery and Process Management",Trade Counterparties,43907,43910,2020,161451.6,35519.352,166700,22
External Fraud,Theft and Fraud,43910,43913,2020,784060.45,203855.717,791500,26
"Execution, Delivery and Process Management",Vendors and Suppliers,43913,43916,2020,949052.11,189810.422,946400,20
"Execution, Delivery and Process Management",Reporting and Disclosure,43915,43916,2020,185893.29,42755.4567,187600,23
External Fraud,Systems Security,43917,43918,2020,1491.75,358.02,1400,24
"Clients, Products and Business Practices",Advisory Activities,43922,43923,2020,278747.41,58536.9561,279900,21
External Fraud,Theft and Fraud,43924,43927,2020,132063.64,36977.8192,144800,28
External Fraud,Theft and Fraud,43924,43925,2020,161574.54,40393.635,168200,25
Employment Practices and Workplace Safety,Safe Environment,43932,43933,2020,118538.21,39117.6093,135000,33
External Fraud,Theft and Fraud,43932,43933,2020,59357.3,14245.752,54100,24
"Execution, Delivery and Process Management",Customer/Client Account Management,43934,43935,2020,384702.73,92328.6552,383600,24
External Fraud,Systems Security,43937,43940,2020,96145.07,27882.0703,97100,29
"Execution, Delivery and Process Management",Transaction/Data Management,43938,43941,2020,104654.98,34536.1434,114200,33
External Fraud,Theft and Fraud,43940,43942,2020,33081.61,10916.9313,32200,33
"Execution, Delivery and Process Management",Customer Intake and Documentation,43941,43942,2020,73827.35,20671.658,80900,28
Employment Practices and Workplace Safety,Safe Environment,43941,43942,2020,223444.92,55861.23,231700,25
"Execution, Delivery and Process Management",Trade Counterparties,43947,43948,2020,79858.49,31144.8111,80100,39
External Fraud,Theft and Fraud,43952,43955,2020,92290.3,25841.284,108400,28
External Fraud,Theft and Fraud,43954,43955,2020,255848.44,102339.376,249100,40
"Execution, Delivery and Process Management",Reporting and Disclosure,43954,43957,2020,94322.52,20750.9544,101200,22
External Fraud,Systems Security,43955,43958,2020,24796.38,9670.5882,28100,39
External Fraud,Theft and Fraud,43959,43962,2020,59423.87,16044.4449,52500,27
External Fraud,Theft and Fraud,43967,43970,2020,267336.6,80200.98,265300,30
"Execution, Delivery and Process Management",Trade Counterparties,43973,43976,2020,111843.11,23487.0531,104600,21
External Fraud,Theft and Fraud,43976,43979,2020,133196.14,39958.842,142300,30
"Execution, Delivery and Process Management",Reporting and Disclosure,43978,43981,2020,143453.52,50208.732,147600,35
"Execution, Delivery and Process Management",Reporting and Disclosure,43979,43980,2020,737042.65,257964.9275,749300,35
External Fraud,Systems Security,43981,43982,2020,52741.18,12130.4714,50100,23
"Execution, Delivery and Process Management",Customer Intake and Documentation,43989,43990,2020,149691.12,55385.7144,167900,37
Business Disruption and System Failures,Infrastructure and Systems,43989,43992,2020,46462.9,12544.983,46100,27
"Execution, Delivery and Process Management",Trade Counterparties,43991,43994,2020,818980.7,204745.175,829000,25
"Clients, Products and Business Practices","Suitability, Disclosures and Fiduciary",43993,43996,2020,132605.88,51716.2932,140200,39
External Fraud,Theft and Fraud,43995,43997,2020,61290.44,23290.3672,57700,38
External Fraud,Theft and Fraud,43995,43997,2020,141643.36,33994.4064,143100,24
"Execution, Delivery and Process Management",Reporting and Disclosure,43998,44001,2020,61626.5,17255.42,59400,28
Employment Practices and Workplace Safety,Diversity and Discrimination,44000,44002,2020,206134.09,49472.1816,205800,24
"Execution, Delivery and Process Management",Vendors and Suppliers,44001,44002,2020,230710.76,27685.2912,232300,12
Employment Practices and Workplace Safety,Employee Relations,44004,44007,2020,12195.79,2561.1159,10600,21
External Fraud,Theft and Fraud,44008,44011,2020,225985.84,88134.4776,224000,39
External Fraud,Systems Security,44010,44011,2020,22284.09,6908.0679,29600,31
External Fraud,Theft and Fraud,44014,44015,2020,114302.81,27432.6744,110800,24
Employment Practices and Workplace Safety,Safe Environment,44015,44018,2020,92036.76,29451.7632,100800,32
External Fraud,Theft and Fraud,44017,44018,2020,17543.18,4912.0904,28800,28
"Execution, Delivery and Process Management",Customer/Client Account Management,44017,44018,2020,120424.46,38535.8272,125800,32
External Fraud,Theft and Fraud,44018,44021,2020,268938.29,59166.4238,279800,22
"Execution, Delivery and Process Management",Transaction/Data Management,44022,44024,2020,156503.32,51646.0956,160100,33
"Execution, Delivery and Process Management",Customer Intake and Documentation,44022,44025,2020,198841.5,77548.185,202700,39
"Execution, Delivery and Process Management",Trade Counterparties,44025,44026,2020,197065.09,53207.5743,207400,27
External Fraud,Systems Security,44027,44030,2020,21652.4,8227.912,28500,38
"Clients, Products and Business Practices","Selection, Sponsorship and Exposure",44028,44030,2020,67986.21,14956.9662,78900,22
External Fraud,Theft and Fraud,44031,44034,2020,167992.1,55437.393,166400,33
External Fraud,Theft and Fraud,44031,44032,2020,116742.59,26850.7957,116300,23
Employment Practices and Workplace Safety,Diversity and Discrimination,44048,44051,2020,227411.13,75045.6729,224800,33
External Fraud,Theft and Fraud,44050,44051,2020,243805.83,60951.4575,241500,25
"Clients, Products and Business Practices",Improper Business or Market Practices,44052,44055,2020,103280.75,30984.225,108300,30
External Fraud,Systems Security,44055,44056,2020,145087.08,42075.2532,151700,29
External Fraud,Theft and Fraud,44060,44061,2020,68683.84,17170.96,73200,25
External Fraud,Theft and Fraud,44061,44064,2020,29688.16,10984.6192,35500,37
External Fraud,Theft and Fraud,44066,44067,2020,293889.03,85227.8187,292000,29
Employment Practices and Workplace Safety,Employee Relations,44067,44068,2020,93546.47,27128.4763,103300,29
"Execution, Delivery and Process Management",Reporting and Disclosure,44067,44070,2020,83184.07,33273.628,76500,40
"Execution, Delivery and Process Management",Trade Counterparties,44071,44072,2020,58023.83,15666.4341,72600,27
"Execution, Delivery and Process Management",Reporting and Disclosure,44073,44076,2020,68339.41,17084.8525,83500,25
"Execution, Delivery and Process Management",Reporting and Disclosure,44074,44075,2020,235394.5,91803.855,235200,39
External Fraud,Systems Security,44076,44077,2020,267711.88,69605.0888,275700,26
Internal Fraud,Unauthorized Activity,44076,44078,2020,4600.33,1518.1089,13700,33
"Execution, Delivery and Process Management",Customer Intake and Documentation,44081,44084,2020,731583.24,168264.1452,736300,23
External Fraud,Theft and Fraud,44084,44086,2020,147166.64,42678.3256,154700,29
"Execution, Delivery and Process Management",Trade Counterparties,44087,44090,2020,345248.12,117384.3608,354800,34
External Fraud,Theft and Fraud,44089,44092,2020,156397.85,42227.4195,169500,27
External Fraud,Theft and Fraud,44097,44099,2020,257193.46,64298.365,255000,25
External Fraud,Systems Security,44099,44102,2020,19410.17,5046.6442,30000,26
Business Disruption and System Failures,Infrastructure and Systems,44102,44105,2020,393441.78,114098.1162,399100,29
"Execution, Delivery and Process Management",Reporting and Disclosure,44105,44106,2020,187452.87,63733.9758,191700,34
"Clients, Products and Business Practices",Product Flaws,44108,44111,2020,148600.36,41608.1008,160800,28
"Execution, Delivery and Process Management",Vendors and Suppliers,44108,44109,2020,240558.72,31272.6336,238900,13
"Execution, Delivery and Process Management",Customer/Client Account Management,44118,44119,2020,169999.6,47599.888,178800,28
External Fraud,Theft and Fraud,44118,44121,2020,223125.79,75862.7686,231700,34
"Execution, Delivery and Process Management",Transaction/Data Management,44119,44122,2020,43196.44,12958.932,55700,30
"Execution, Delivery and Process Management",Customer Intake and Documentation,44121,44122,2020,186053.05,37210.61,192600,20
"Execution, Delivery and Process Management",Reporting and Disclosure,44123,44126,2020,1057781.07,423112.428,1073400,40
External Fraud,Theft and Fraud,44124,44127,2020,197117.87,65048.8971,210400,33
"Execution, Delivery and Process Management",Trade Counterparties,44124,44125,2020,899068.6,179813.72,899300,20
"Execution, Delivery and Process Management",Trade Counterparties,44131,44134,2020,140276.47,53305.0586,135500,38
External Fraud,Systems Security,44137,44140,2020,120370.74,42129.759,113300,35
External Fraud,Theft and Fraud,44137,44138,2020,93231.75,34495.7475,92800,37
"Execution, Delivery and Process Management",Reporting and Disclosure,44140,44142,2020,183958.22,53347.8838,186100,29
Business Disruption and System Failures,Infrastructure and Systems,44140,44142,2020,13665.4,4372.928,17200,32
Internal Fraud,Theft and Fraud,44142,44145,2020,266969.6,74751.488,280000,28
"Execution, Delivery and Process Management",Reporting and Disclosure,44147,44150,2020,622358.91,136918.9602,629100,22
External Fraud,Theft and Fraud,44148,44151,2020,52851.94,14270.0238,55100,27
External Fraud,Theft and Fraud,44152,44155,2020,157301.79,62920.716,170300,40
"Execution, Delivery and Process Management",Customer Intake and Documentation,44158,44160,2020,171028.81,66701.2359,184300,39
"Execution, Delivery and Process Management",Trade Counterparties,44160,44163,2020,175672.36,49188.2608,179500,28
External Fraud,Theft and Fraud,44164,44166,2020,85699.24,19710.8252,84400,23
"Clients, Products and Business Practices",Advisory Activities,44169,44172,2020,675262.4,222836.592,674700,33
External Fraud,Systems Security,44170,44173,2020,123150.67,29556.1608,123800,24
External Fraud,Theft and Fraud,44171,44173,2020,152053.04,39533.7904,160300,26
"Execution, Delivery and Process Management",Reporting and Disclosure,44177,44178,2020,70721.17,25459.6212,82700,36
External Fraud,Theft and Fraud,44188,44191,2020,50642.01,18231.1236,43500,36
"Execution, Delivery and Process Management",Vendors and Suppliers,41323,41326,2013,36183.73,6513.0714,42800,18
"Execution, Delivery and Process Management",Vendors and Suppliers,41390,41391,2013,179915.56,14393.2448,173100,8
"Execution, Delivery and Process Management",Vendors and Suppliers,41456,41457,2013,11687858.52,1986935.948,11698000,17
"Execution, Delivery and Process Management",Vendors and Suppliers,41593,41595,2013,952743.86,323932.9124,952800,34
"Execution, Delivery and Process Management",Vendors and Suppliers,41662,41664,2014,477408.03,81159.3651,481200,17
"Execution, Delivery and Process Management",Vendors and Suppliers,41758,41761,2014,114956.61,39085.2474,112500,34
"Execution, Delivery and Process Management",Vendors and Suppliers,41822,41823,2014,563874.57,101497.4226,567000,18
"Execution, Delivery and Process Management",Vendors and Suppliers,41930,41932,2014,1041508.13,177056.3821,1056400,17
"Execution, Delivery and Process Management",Vendors and Suppliers,42028,42029,2015,122813.21,27018.9062,132200,22
"Execution, Delivery and Process Management",Vendors and Suppliers,42086,42089,2015,949052.11,189810.422,946400,20
"Execution, Delivery and Process Management",Vendors and Suppliers,42174,42175,2015,230710.76,11535.538,232300,5
"Execution, Delivery and Process Management",Vendors and Suppliers,42281,42282,2015,240558.72,16839.1104,238900,7
"Execution, Delivery and Process Management",Vendors and Suppliers,42396,42397,2016,224771.19,56192.7975,231200,25
"Execution, Delivery and Process Management",Vendors and Suppliers,42464,42466,2016,543720.12,163116.036,545000,30
"Execution, Delivery and Process Management",Vendors and Suppliers,42559,42560,2016,269621.58,26962.158,276400,10
"Execution, Delivery and Process Management",Vendors and Suppliers,42672,42675,2016,750327.81,262614.7335,760300,35
"Execution, Delivery and Process Management",Vendors and Suppliers,42765,42767,2017,56958.06,15378.6762,59800,27
"Execution, Delivery and Process Management",Vendors and Suppliers,42859,42862,2017,131660.41,18432.4574,130900,14
"Execution, Delivery and Process Management",Vendors and Suppliers,42936,42939,2017,750530.88,142600.8672,756700,19
"Execution, Delivery and Process Management",Vendors and Suppliers,43035,43038,2017,37941.85,1897.0925,44400,5
"Execution, Delivery and Process Management",Vendors and Suppliers,43130,43132,2018,56958.06,17087.418,59800,30
"Execution, Delivery and Process Management",Vendors and Suppliers,43224,43227,2018,131660.41,27648.6861,130900,21
"Execution, Delivery and Process Management",Vendors and Suppliers,43301,43304,2018,750530.88,150106.176,756700,20
"Execution, Delivery and Process Management",Vendors and Suppliers,43400,43403,2018,37941.85,7967.7885,44400,21
"Execution, Delivery and Process Management",Vendors and Suppliers,43488,43490,2019,477408.03,105029.7666,481200,22
"Execution, Delivery and Process Management",Vendors and Suppliers,43492,43493,2019,224771.19,71926.7808,231200,32
"Execution, Delivery and Process Management",Vendors and Suppliers,43514,43517,2019,36183.73,6151.2341,42800,17
"Execution, Delivery and Process Management",Vendors and Suppliers,43559,43561,2019,543720.12,141367.2312,545000,26
"Execution, Delivery and Process Management",Vendors and Suppliers,43581,43582,2019,179915.56,21589.8672,173100,12
"Execution, Delivery and Process Management",Vendors and Suppliers,43584,43587,2019,114956.61,40234.8135,112500,35
"Execution, Delivery and Process Management",Vendors and Suppliers,43647,43648,2019,11687858.52,2103814.534,11698000,18
"Execution, Delivery and Process Management",Vendors and Suppliers,43648,43649,2019,563874.57,191717.3538,567000,34
"Execution, Delivery and Process Management",Vendors and Suppliers,43654,43655,2019,269621.58,56620.5318,276400,21
"Execution, Delivery and Process Management",Vendors and Suppliers,43756,43758,2019,1041508.13,302037.3577,1056400,29
"Execution, Delivery and Process Management",Vendors and Suppliers,43767,43770,2019,750327.81,262614.7335,760300,35
"Execution, Delivery and Process Management",Vendors and Suppliers,43784,43786,2019,952743.86,285823.158,952800,30
"Execution, Delivery and Process Management",Vendors and Suppliers,43854,43855,2020,122813.21,42984.6235,132200,35
"Execution, Delivery and Process Management",Vendors and Suppliers,43913,43916,2020,949052.11,208791.4642,946400,22
"Execution, Delivery and Process Management",Vendors and Suppliers,44001,44002,2020,230710.76,18456.8608,232300,8
"Execution, Delivery and Process Management",Vendors and Suppliers,44108,44109,2020,240558.72,19244.6976,238900,8
